,Well,Date,Slope,Intercept
0,MPB-28,2024-04-02,-0.25052041544068265,1814.0776361634146
1,MPB-28,2024-04-03,-0.035653534692221954,1371.4546851133675
2,MPB-28,2024-04-04,-0.018065723513757473,1355.1345209658377
3,MPB-28,2024-04-05,-0.00537590132362915,1343.9112284884227
4,MPB-28,2024-04-06,-0.03789069627648685,1437.8383093502453
5,MPB-28,2024-04-07,-0.014962323947280764,1403.3958694010032
6,MPB-28,2024-04-08,-0.03358019632260861,1460.5840761356196
7,MPB-28,2024-04-09,-0.044126503256425184,1496.0381305688215
8,MPB-28,2024-04-11,-0.07081575400850701,1628.7650553275623
9,MPB-28,2024-04-12,-0.0443632754203604,1555.2893824855466
10,MPB-28,2024-04-13,-0.04834305454957093,1571.771129370553
11,MPB-28,2024-04-14,-0.02178598737830888,1513.137647135685
12,MPB-28,2024-04-15,-0.0333564695220699,1543.0047938695568
13,MPB-28,2024-04-16,-0.03382216114235028,1546.7227767225836
14,MPB-28,2024-04-17,-0.032454354853043064,1546.5565386281917
15,MPB-28,2024-04-18,-0.03686735494262772,1561.7956552321098
16,MPB-28,2024-04-19,-0.039607293960875284,1571.340851125756
17,MPB-28,2024-04-20,-0.03770474191532574,1568.6839079537583
18,MPB-28,2024-04-21,-0.0355740332721717,1569.0854559808304
19,MPB-28,2024-04-22,-0.024215679382404848,1544.2908475272548
20,MPB-28,2024-04-23,-0.03395921286174556,1571.6519683130778
21,MPB-28,2024-04-24,-0.030675837815690693,1566.4935052593823
22,MPB-28,2024-04-25,-0.04081224516195875,1594.1218008994135
23,MPB-28,2024-04-26,-0.048218688584545456,1619.1245134904236
24,MPB-28,2024-04-27,-0.008191282460779563,1537.7503281522236
25,MPB-28,2024-04-28,-0.036844175508807975,1610.6498539109623
26,MPB-28,2024-04-29,-0.05778705620692129,1663.3754002766066
27,MPB-28,2024-04-30,-0.0314532929693003,1606.764602385134
28,MPB-28,2024-05-01,-0.010917000750073564,1515.5442827499176
29,MPB-28,2024-05-02,-0.13106050426110635,1620.7080826620274
30,MPB-28,2024-05-03,-0.05599602430992056,1385.3587606620226
31,MPB-28,2024-05-04,-0.1394786451391672,1539.1568394353474
32,MPB-28,2024-05-05,-0.0820799238160544,1373.1025462893247
33,MPB-28,2024-05-06,-0.0014210636752465776,1164.5754299678654
34,MPB-28,2024-05-08,-0.05011820641480734,1236.7159585592349
35,MPB-28,2024-05-09,-0.13428694641295838,1459.6127422537274
36,MPB-28,2024-05-10,-0.15556154656524707,1643.4303818775988
37,MPB-28,2024-05-11,-0.08794945483214976,1526.5952720074722
38,MPB-28,2024-05-12,-0.13865710897227138,1638.5600149408351
39,MPB-28,2024-05-13,-0.09347944123774314,1538.6484750408445
40,MPB-28,2024-05-14,-0.03984992472962627,1389.788841629031
41,MPB-28,2024-05-15,-0.05695420003564517,1427.920232280145
42,MPB-28,2024-05-16,-0.0696611540441919,1456.418481000367
43,MPB-28,2024-05-17,-0.05301620296411982,1414.8470482609707
44,MPB-28,2024-05-18,-0.06210431671349573,1431.2000662071239
45,MPB-28,2024-05-19,-0.08827437582636445,1481.7020746161686
46,MPB-28,2024-05-20,-0.06261785337480366,1411.3641406487002
47,MPB-28,2024-05-21,-0.011784573311562218,1285.8143943806142
48,MPB-28,2024-05-22,-0.09997757824903158,1492.479946434775
49,MPB-28,2024-05-23,-0.06709945738941289,1412.8079490769883
50,MPB-30,2024-04-26,-0.4194811050583073,1880.3769852423527
51,MPB-30,2024-04-27,-0.1585286166334795,1211.687030343575
52,MPB-30,2024-04-28,-0.042424364118796694,930.2635277991982
53,MPB-30,2024-04-29,-0.1263641670522104,1108.6334354516703
54,MPB-30,2024-04-30,-0.029956012277000617,887.5842616746586
55,MPB-30,2024-05-01,-0.041430096778586986,904.2163309843443
56,MPB-30,2024-05-02,-0.01564649384970709,850.7836299351845
