,Well,Mean Slope,Mean Intercept
0,MPG-02,1000000.0,0.0
1,MPG-14,1.3755509065819325,-712.2650164635388
2,MPG-16,5.197040586959343,-2850.5672060010634
3,MPG-18,1000000.0,0.0
4,MPH-16,1.1881819181943063,-468.6356361283493
5,MPH-19,1.4802890569090792,-824.230171100841
6,MPI-15,12.232482255695045,-6697.8417107573805
7,MPI-20,0.9626616630895548,-44.179205756886184
8,MPI-27,8.783106264299356,-3297.2903404649905
9,MPI-29,1.4784177994987797,-560.1577413333249
10,MPI-31,10.479424860646144,-6006.623703302018
11,MPI-33,27.647654160349564,-18508.688590723978
12,MPI-36,4.729527634589051,-2550.207824170156
13,MPI-38,1.2209667835111777,-165.5323598375652
14,MPJ-06,1.743639297160727,-469.5812940480459
15,MPJ-10,1.3720928879027847,-639.1428940064739
16,MPJ-28,3.3491190596325358,-1100.8987275964055
17,MPJ-29,1.5938259061693079,-1163.2388007737638
