,Well,pf_pres,bhp,Fluid_newest_interpolated,Fluid_lowest_interpolated,Fluid_median_interpolated
126,MPB-37,1900,495.04531716625957,787.0657790835701,970.1089653857043,533.6200270551841
127,MPB-37,1950,494.52633318179267,788.302814223177,971.6336903976687,534.4587202650882
128,MPB-37,2000,494.00734919732577,789.5398493627841,973.1584154096331,535.2974134749924
129,MPB-37,2050,493.4883652128589,790.776884502391,974.6831404215973,536.1361066848964
130,MPB-37,2100,492.969381228392,792.0139196419981,976.2078654335617,536.9747998948006
131,MPB-37,2150,492.4503972439252,793.250954781605,977.7325904455258,537.8134931047047
132,MPB-37,2200,491.9314132594583,794.487989921212,979.2573154574902,538.6521863146088
133,MPB-37,2250,491.4124292749914,795.725025060819,980.7820404694546,539.4908795245129
134,MPB-37,2300,490.89344529052454,796.9620602004259,982.3067654814188,540.3295727344171
135,MPB-37,2350,490.37446130605764,798.199095340033,983.8314904933832,541.1682659443212
136,MPB-37,2400,489.85547732159074,799.4302967784497,985.349025095122,542.0030039831714
137,MPB-37,2450,489.3364933371239,800.6463829741174,986.8479291924043,542.8274940904522
138,MPB-37,2500,488.817509352657,801.8624691697853,988.3468332896869,543.6519841977331
139,MPB-37,2550,488.2985253681901,803.0785553654532,989.8457373869693,544.476474305014
140,MPB-37,2600,487.77954138372326,804.294641561121,991.3446414842516,545.3009644122948
141,MPB-37,2650,487.26055739925636,805.5107277567888,992.8435455815342,546.1254545195757
142,MPB-37,2700,486.7415734147895,806.7268139524566,994.3424496788165,546.9499446268564
143,MPB-37,2750,486.2225894303226,807.9429001481245,995.841353776099,547.7744347341373
144,MPB-37,2800,485.7036054458557,809.1589863437924,997.3402578733815,548.5989248414182
145,MPB-37,2850,485.1846214613889,810.3750725394601,998.8391619706639,549.4234149486991
146,MPB-37,2900,484.665637476922,811.591158735128,1000.3380660679463,550.24790505598
147,MPB-37,2950,484.1466534924551,812.807244930796,1001.8369701652289,551.0723951632609
148,MPB-37,3000,483.62766950798823,814.0233311264636,1003.3358742625112,551.8968852705417
149,MPB-37,3050,483.10868552352133,815.2394173221315,1004.8347783597937,552.7213753778226
150,MPB-37,3100,482.58970153905443,816.4555035177995,1006.3336824570762,553.5458654851035
151,MPB-37,3150,482.0707175545876,817.6715897134673,1007.8325865543585,554.3703555923843
152,MPB-37,3200,481.5517335701207,818.887675909135,1009.331490651641,555.1948456996652
153,MPB-37,3250,481.03274958565385,820.1037621048029,1010.8303947489234,556.019335806946
154,MPB-37,3300,480.51376560118695,821.3198483004708,1012.3292988462059,556.8438259142268
155,MPB-39,1800,420.3634649730726,334.34515607170226,110.55659851379161,214.74238209861355
156,MPB-39,1850,417.21754166287485,336.9014284942156,111.40187106754466,216.3842184444818
157,MPB-39,1900,414.0716183526772,339.4518846317775,112.24522037321545,218.02231912119865
158,MPB-39,1950,410.92569504247945,342.0023407693394,113.08856967888626,219.66041979791558
159,MPB-39,2000,407.7797717322818,344.5172680905947,113.92017081052568,221.27570111413547
160,MPB-39,2050,404.63384842208404,347.0173821380987,114.74687369516181,222.88146819743093
161,MPB-39,2100,401.4879251118864,349.5174961856026,115.5735765797979,224.48723528072634
162,MPB-39,2150,398.34200180168864,351.9910784056,116.39150628932374,226.07596156729798
163,MPB-39,2200,395.196078491491,354.44085036304597,117.20156275292514,227.64939505717186
164,MPB-39,2250,392.05015518129323,356.89062232049207,118.01161921652658,229.22282854704582
165,MPB-39,2300,388.9042318710956,359.3228594392313,118.8158775039388,230.78499980396907
166,MPB-39,2350,385.75830856089783,361.72228930661936,119.6092875465055,232.3260997004215
167,MPB-39,2400,382.6123852507002,364.1217191740073,120.40269758907218,233.8671995968739
168,MPB-39,2450,379.4664619405024,366.5126111914886,121.19328445437081,235.4028158241489
169,MPB-39,2500,376.3205386303048,368.86169896881864,121.97004807590278,236.91158212717977
170,MPB-39,2550,373.174615320107,371.21078674614876,122.7468116974348,238.4203484302107
171,MPB-39,2600,370.0286920099094,373.55987452347875,123.52357531896676,239.9291147332416
172,MPB-39,2650,366.8827686997116,375.8590793496441,124.2838443411171,241.40584233744678
173,MPB-39,2700,363.736845389514,378.15782503691617,125.04396154161438,242.88227504705617
174,MPB-39,2750,360.5909220793162,380.45657072418834,125.80407874211168,244.3587077566656
175,MPB-39,2800,357.44499876911857,382.7144304490956,126.55067634214839,245.8088803312224
176,MPB-39,2850,354.2990754589208,384.96283404630975,127.29414712161098,247.25297944741033
177,MPB-39,2900,351.15315214872317,387.21123764352376,128.03761790107353,248.69707856359818
178,MPB-39,2950,348.0072288385254,389.4277522671731,128.77054407899666,250.12069610850673
179,MPB-39,3000,344.8613055283277,391.6258137743293,129.49736843742454,251.53246163127315
180,MPB-39,3050,341.71538221813,393.8238752814854,130.22419279585242,252.94422715403957
181,MPB-39,3100,338.5694589079323,395.9990448038767,130.94344755166196,254.34128966929978
182,MPB-39,3150,335.4235355977346,398.1467642209749,131.65362548905512,255.7207215986447
183,MPB-39,3200,332.2776122875369,400.2944836380731,132.3638034264483,257.1001535279896
184,MPB-39,3250,329.1316889773392,402.4283080592063,133.0693867601442,258.4706610136015
185,MPB-39,3300,325.9857656671415,404.5256853862465,133.76291827650266,259.8177593495249
