,Well,pf_pres,bhp,Fluid_newest_interpolated,Fluid_lowest_interpolated,Fluid_median_interpolated,well,WtOilVol,WtWaterCut,Oil_newest_ipr,Oil_lowest_ipr,Oil_median_ipr
0,MPB-28,1800,1396.7353289887155,1370.9003226173602,1177.06372561044,831.2315299647901,MPB-28,497.8741935483871,69.20967741935483,422.1046315929905,362.4217180952146,255.93886946819103
1,MPB-28,1850,1393.8549821459255,1378.2133657861211,1183.3427509310682,835.6657196440672,MPB-28,497.8741935483871,69.20967741935483,424.35634117511387,364.3550502463564,257.30417077427813
2,MPB-28,1900,1390.9746353031355,1385.5264089548818,1189.6217762516962,840.0999093233444,MPB-28,497.8741935483871,69.20967741935483,426.6080507572371,366.28838239749814,258.66947208036527
3,MPB-28,1950,1388.0942884603455,1392.809740748658,1195.8752911970219,844.5160838112336,MPB-28,497.8741935483871,69.20967741935483,428.8506121111594,368.21385982179277,260.0292264509105
4,MPB-28,2000,1385.2139416175555,1400.0778772967938,1202.115759407913,848.9230448157837,MPB-28,497.8741935483871,69.20967741935483,431.0884947999322,370.13532011446875,261.3861439602147
5,MPB-28,2050,1382.3335947747655,1407.3460138449295,1208.356227618804,853.3300058203339,MPB-28,497.8741935483871,69.20967741935483,433.32637748870496,372.05678040714474,262.743061469519
6,MPB-28,2100,1379.4532479319755,1414.6056261461483,1214.5893768571423,857.7317982340757,MPB-28,497.8741935483871,69.20967741935483,435.5616355343544,373.9759871645621,264.0983875530404
7,MPB-28,2150,1376.5729010891855,1421.8288560736596,1220.791287958297,862.111530563899,MPB-28,497.8741935483871,69.20967741935483,437.7856913297769,375.8855755987725,265.44692126556185
8,MPB-28,2200,1373.6925542463955,1429.0520860011707,1226.9931990594516,866.4912628937224,MPB-28,497.8741935483871,69.20967741935483,440.0097471251992,377.7951640329829,266.7954549780833
9,MPB-28,2250,1370.8122074036055,1436.2753159286817,1233.1951101606064,870.8709952235458,MPB-28,497.8741935483871,69.20967741935483,442.2338029206216,379.70475246719326,268.1439886906047
10,MPB-28,2300,1367.9318605608155,1443.4663021167185,1239.3693365822205,875.2311768884134,MPB-28,497.8741935483871,69.20967741935483,444.44793076464777,381.6058166992677,269.48650269031964
11,MPB-28,2350,1365.0515137180255,1450.6446254236048,1245.5326905736383,879.5836805435099,MPB-28,497.8741935483871,69.20967741935483,446.65815966671965,383.5035332750122,270.8266526060582
12,MPB-28,2400,1362.1711668752355,1457.822948730491,1251.6960445650564,883.9361841986063,MPB-28,497.8741935483871,69.20967741935483,448.86838856879154,385.4012498507569,272.1668025217967
13,MPB-28,2450,1359.2908200324455,1464.9902154259703,1257.8499052796833,888.2819837893267,MPB-28,497.8741935483871,69.20967741935483,451.07521310454484,387.2960434159542,273.5048882344879
14,MPB-28,2500,1356.4104731896555,1472.1236321122315,1263.9747021613643,892.607258769696,MPB-28,497.8741935483871,69.20967741935483,453.27161511326614,389.1818881332331,274.8366543534436
15,MPB-28,2550,1353.5301263468655,1479.2570487984926,1270.0994990430454,896.9325337500655,MPB-28,497.8741935483871,69.20967741935483,455.4680171219876,391.06773285051196,276.16842047239925
16,MPB-28,2600,1350.6497795040755,1486.390465484754,1276.2242959247262,901.2578087304349,MPB-28,497.8741935483871,69.20967741935483,457.66441913070906,392.9535775677908,277.5001865913549
17,MPB-28,2650,1347.7694326612855,1493.4891060670511,1282.3192338226295,905.5619975722811,MPB-28,497.8741935483871,69.20967741935483,459.85011346483884,394.8302286076452,278.8254602202395
18,MPB-28,2700,1344.8890858184955,1500.5776161326876,1288.4054735945738,909.8600438779238,MPB-28,497.8741935483871,69.20967741935483,462.0326885802099,396.7042014664583,280.1488425424124
19,MPB-28,2750,1342.0087389757055,1507.666126198324,1294.4917133665183,914.1580901835664,MPB-28,497.8741935483871,69.20967741935483,464.2152636955808,398.5781743252716,281.47222486458526
20,MPB-28,2800,1339.1283921329155,1514.7410472880636,1300.5662855574342,918.4478969512653,MPB-28,497.8741935483871,69.20967741935483,466.3936547214377,400.44855469824876,282.7930702064461
21,MPB-28,2850,1336.2480452901254,1521.784650733075,1306.6139682196415,922.718714582181,MPB-28,497.8741935483871,69.20967741935483,468.5624029434582,402.3106556985962,284.1080687318361
22,MPB-28,2900,1333.3676984473354,1528.8282541780866,1312.661650881849,926.9895322130965,MPB-28,497.8741935483871,69.20967741935483,470.73115116547865,404.17275669894354,285.4230672572261
23,MPB-28,2950,1330.4873516045454,1535.8718576230979,1318.7093335440566,931.2603498440121,MPB-28,497.8741935483871,69.20967741935483,472.8998993874991,406.034857699291,286.73806578261605
24,MPB-28,3000,1327.6070047617554,1542.8781525996553,1324.7249829182483,935.5085458628367,MPB-28,497.8741935483871,69.20967741935483,475.0571602117327,407.88709554692525,288.04609904067024
25,MPB-28,3050,1324.7266579189654,1549.8768494240421,1330.7341084707193,939.7521348190255,MPB-28,497.8741935483871,69.20967741935483,477.2120815404027,409.73732468880706,289.35271376927744
26,MPB-28,3100,1321.8463110761754,1556.8755462484287,1336.74323402319,943.9957237752143,MPB-28,497.8741935483871,69.20967741935483,479.36700286907273,411.58755383068876,290.6593284978846
27,MPB-28,3150,1318.9659642333854,1563.858121732429,1342.7385176903947,948.2295377198917,MPB-28,497.8741935483871,69.20967741935483,481.5169603850334,413.43352101144575,291.9629334689151
28,MPB-28,3200,1316.0856173905954,1570.8119119361909,1348.7090861331287,952.4458980013536,MPB-28,497.8741935483871,69.20967741935483,483.6580548203531,415.27187829486184,293.26116440073946
29,MPB-28,3250,1313.2052705478054,1577.7657021399527,1354.679654575863,956.6622582828154,MPB-28,497.8741935483871,69.20967741935483,485.79914925567266,417.11023557827787,294.55939533256367
30,MPB-28,3300,1310.3249237050154,1584.7194923437146,1360.650223018597,960.8786185642773,MPB-28,497.8741935483871,69.20967741935483,487.9402436909922,418.9485928616939,295.85762626438805
31,MPB-30,1800,1114.7916569963354,385.22228592970356,416.06488853697124,812.901077441483,MPB-30,173.35151515151517,71.39696969696969,110.18524717849918,119.00716614849917,232.5143415142473
32,MPB-30,1850,1108.249004284336,389.0806874301768,420.2322107528988,821.0431264648587,MPB-30,173.35151515151517,71.39696969696969,111.2888669288921,120.19914658474585,234.843214263691
33,MPB-30,1900,1101.7063515723369,392.91767048747874,424.376399670219,829.1399780109156,MPB-30,173.35151515151517,71.39696969696969,112.38636035549433,121.38451019658174,237.159159165001
34,MPB-30,1950,1095.1636988603375,396.7330355447451,428.4972397546607,837.1912109721634,MPB-30,173.35151515151517,71.39696969696969,113.47767037899544,122.56319533467403,239.4620557686743
35,MPB-30,2000,1088.6210461483383,400.53460945649744,432.60318451338867,845.2133416787987,MPB-30,173.35151515151517,71.39696969696969,114.56503571696607,123.73761995823868,241.75662824564188
36,MPB-30,2050,1082.078393436339,404.3131019184139,436.68419981916446,853.1867656098245,MPB-30,173.35151515151517,71.39696969696969,115.64579906084575,124.90491400282104,244.0372691088223
37,MPB-30,2100,1075.5357407243398,408.07163938695953,440.7436624464067,861.118080254332,MPB-30,173.35151515151517,71.39696969696969,116.72085467192461,126.06604332823132,246.30586544001943
38,MPB-30,2150,1068.9930880123406,411.8163857099912,444.7882297479354,869.0202926442272,MPB-30,173.35151515151517,71.39696969696969,117.79196559747297,127.22291213911403,248.56613764451097
39,MPB-30,2200,1062.4504353003413,415.536387576522,448.8060714421666,876.8702889602218,MPB-30,173.35151515151517,71.39696969696969,118.85599885863004,128.3721366164428,250.8114744695617
40,MPB-30,2250,1055.907782588342,419.238097456347,452.8041566122096,884.6816852879895,MPB-30,173.35151515151517,71.39696969696969,119.91480005728668,129.51571012917114,253.04577052828284
41,MPB-30,2300,1049.3651298763427,422.92601619065795,456.7873464565389,892.4639793611445,MPB-30,173.35151515151517,71.39696969696969,120.96965657041277,130.65502312737186,255.27174246029833
42,MPB-30,2350,1042.8224771643436,426.5875274618029,460.7420145392255,900.1905480621075,MPB-30,173.35151515151517,71.39696969696969,122.01695974884723,131.786178037447,257.4817752472192
43,MPB-30,2400,1036.2798244523442,430.23240975290724,464.6787222520691,907.8820260731352,MPB-30,173.35151515151517,71.39696969696969,123.05950653508158,132.91219573749336,259.6817710334644
44,MPB-30,2450,1029.737171740345,433.8635008984976,468.60053463919905,915.5444018295503,MPB-30,173.35151515151517,71.39696969696969,124.09810863578545,134.03395292301215,261.8734426930039
45,MPB-30,2500,1023.1945190283457,437.4665215742569,472.49202911034126,923.1475429154822,MPB-30,173.35151515151517,71.39696969696969,125.12868173149732,135.14703826583371,264.0481714417951
46,MPB-30,2550,1016.6518663163465,441.05457627664043,476.36735936598535,930.7191026097694,MPB-30,173.35151515151517,71.39696969696969,126.15497410530939,136.25550015319808,266.2138669555641
47,MPB-30,2600,1010.1092136043471,444.6283516547069,480.22726703135527,938.2605298881855,MPB-30,173.35151515151517,71.39696969696969,127.17718215965996,137.35955071239283,268.37094368529046
48,MPB-30,2650,1003.566560892348,448.1733699138836,484.05611515551357,945.7412735203449,MPB-30,173.35151515151517,71.39696969696969,128.19116480658025,138.45471730160284,270.51066305328897
49,MPB-30,2700,997.0239081803487,451.7045970275465,487.87006795395837,953.1929148978923,MPB-30,173.35151515151517,71.39696969696969,129.20120276797007,139.54562337628528,272.642058294582
50,MPB-30,2750,990.4812554683494,455.21988181022726,491.66680200778376,960.610914561277,MPB-30,173.35151515151517,71.39696969696969,130.20668073959806,140.63160436822642,274.7638309861787
51,MPB-30,2800,983.9386027563502,458.7080724806834,495.4342726747427,967.9717398766965,MPB-30,173.35151515151517,71.39696969696969,131.2044089740961,141.70921514475447,276.86925008170124
52,MPB-30,2850,977.3959500443509,462.18247200562564,499.1868480159881,975.3034629375037,MPB-30,173.35151515151517,71.39696969696969,132.19819252306368,142.78256540675494,278.96634505051816
53,MPB-30,2900,970.8532973323516,465.63926619292056,502.92040845826887,982.5980349858568,MPB-30,173.35151515151517,71.39696969696969,133.18694041196903,143.85047683144245,281.05281370398495
54,MPB-30,2950,964.3106446203524,469.070629274656,506.6265016680285,989.8389419845362,MPB-30,173.35151515151517,71.39696969696969,134.16841423404483,144.91053179528853,283.12393252703146
55,MPB-30,3000,957.7679919083532,472.4882012108775,510.31769955207454,997.0507467286034,MPB-30,173.35151515151517,71.39696969696969,135.1459433705901,145.96632624460705,285.1867272233724
56,MPB-30,3050,951.2253391963538,475.88650480278693,513.9880863828109,1004.2218911619256,MPB-30,173.35151515151517,71.39696969696969,136.11796117677292,147.016168102041,287.23789183870963
57,MPB-30,3100,944.6826864843547,479.26104029580165,517.6328021353712,1011.3428798438649,MPB-30,173.35151515151517,71.39696969696969,137.08318058642644,148.05866725320516,289.2747103892801
58,MPB-30,3150,938.1400337723553,482.6217846433026,521.2626225622179,1018.4347662711922,MPB-30,173.35151515151517,71.39696969696969,138.04445531054952,149.09690588984168,291.303204813145
59,MPB-30,3200,931.5973810603562,485.961597639826,524.8698357814095,1025.4824830894825,MPB-30,173.35151515151517,71.39696969696969,138.99974303400964,150.12867818002198,293.3190653903523
60,MPB-30,3250,925.0547283483568,489.2793055441202,528.4531740767703,1032.483553454682,MPB-30,173.35151515151517,71.39696969696969,139.94870803124095,151.15362151850414,295.3215836684468
61,MPB-30,3300,918.5120756363576,492.58322230290037,532.0216170464176,1039.455521565269,MPB-30,173.35151515151517,71.39696969696969,140.89372834294173,152.1743043424587,297.31577781983566
62,MPB-32,1800,636.5891328708781,264.4131932490902,251.67668532956066,281.66228121074,MPB-32,374.70500000000004,9.14,240.24582738612338,228.67343629043881,255.91834870807833
63,MPB-32,1850,623.5458551730821,273.4146975403207,260.2445965413984,291.2510018106526,MPB-32,374.70500000000004,9.14,248.42459418513536,236.45824041751456,264.63066024515894
64,MPB-32,1900,610.5025774752862,282.2679663835393,268.6714126522484,300.6818167707965,MPB-32,374.70500000000004,9.14,256.46867425608383,244.1148455358329,273.19949871794574
65,MPB-32,1950,597.4592997774904,290.949587567338,276.93484919252353,309.92978657589106,MPB-32,374.70500000000004,9.14,264.35679526368335,251.62300397632688,281.6022040828546
66,MPB-32,2000,584.4160220796945,299.4783421191718,285.05278252716175,319.01491744034445,MPB-32,374.70500000000004,9.14,272.10602164947954,258.9989582041792,289.85695398629696
67,MPB-32,2050,571.3727443818987,307.85886122299365,293.02962076081224,327.9421426650289,MPB-32,374.70500000000004,9.14,279.72056130721205,266.246713423274,297.96823082544523
68,MPB-32,2100,558.3294666841027,316.0757511386021,300.85071165369385,336.69506429366913,MPB-32,374.70500000000004,9.14,287.18642748453385,273.3529566085462,305.9211354172278
69,MPB-32,2150,545.2861889863069,324.13175595103917,308.5186671111326,345.27660542266324,MPB-32,374.70500000000004,9.14,294.50611345711417,280.320060937175,313.7183236870318
70,MPB-32,2200,532.242911288511,332.03952531546446,316.0455274675836,353.70024091188856,MPB-32,374.70500000000004,9.14,301.69111270163097,287.1589662570465,321.3720388925419
71,MPB-32,2250,519.1996335907152,339.7916839628823,323.42427271307156,361.95811436407416,MPB-32,374.70500000000004,9.14,308.7347240486749,293.8632941870968,328.8751427111978
72,MPB-32,2300,506.15635589291924,347.37493903592286,330.6422502933109,370.0360657576091,MPB-32,374.70500000000004,9.14,315.6248696080395,300.42154861650226,336.21476934736364
73,MPB-32,2350,493.1130781951233,354.8099586609515,337.71913277256243,377.95611151137524,MPB-32,374.70500000000004,9.14,322.38032843934053,306.8516040371502,343.41092291923553
74,MPB-32,2400,480.0698004973275,362.0967428379683,344.65492015082623,385.71825162537243,MPB-32,374.70500000000004,9.14,329.001100542578,313.1534604490407,350.46360342681345
75,MPB-32,2450,467.02652279953156,369.2078913738228,351.4235320736966,393.2932984451819,MPB-32,374.70500000000004,9.14,335.46229010225545,319.3034212421607,357.3462909672923
76,MPB-32,2500,453.98324510173575,376.1701612594548,358.0504366757487,400.70975446348876,MPB-32,374.70500000000004,9.14,341.7882085203406,325.32462676358523,364.0848829055259
77,MPB-32,2550,440.9399674039398,382.984195697075,364.5362461768131,407.9683048420269,MPB-32,374.70500000000004,9.14,347.9794402103624,331.2176332762524,370.6800017794656
78,MPB-32,2600,427.896689706144,389.63061296473904,370.8625124522899,415.04830348538184,MPB-32,374.70500000000004,9.14,354.01837493976194,336.9656788141506,377.11288854681794
79,MPB-32,2650,414.8534120083481,396.1201331109744,377.0394391771425,421.9611697682294,MPB-32,374.70500000000004,9.14,359.91475294463135,342.5780344363517,383.3939188514133
80,MPB-32,2700,401.81013431055226,402.4614178091979,383.0752708010074,428.7161304113082,MPB-32,374.70500000000004,9.14,365.6764442214372,348.0621910497953,389.53147609171464
81,MPB-32,2750,388.7668566127563,408.64310380867164,388.95919142909065,435.3010808782088,MPB-32,374.70500000000004,9.14,371.29312412055907,353.40832133247176,395.5145620859405
82,MPB-32,2800,375.7235789149604,414.6598742155104,394.68614027674386,441.7103574255972,MPB-32,374.70500000000004,9.14,376.75996171221277,358.61182705544945,401.3380307568976
83,MPB-32,2850,362.6803012171646,420.52840917433724,400.27199402340926,447.96172833321674,MPB-32,374.70500000000004,9.14,382.09211257580284,363.6871337696697,407.0180263635607
84,MPB-32,2900,349.63702351936865,426.2453639056205,405.71356900409893,454.05163062366273,MPB-32,374.70500000000004,9.14,387.2865376446467,368.6313487971243,412.5513115846599
85,MPB-32,2950,336.59374582157284,431.78938457306253,410.9905399745526,459.9573174355919,MPB-32,374.70500000000004,9.14,392.3238348230846,373.4260046208785,417.9172186219788
86,MPB-32,3000,323.5504681237769,437.1851697924928,416.1264158440185,465.7050986077522,MPB-32,374.70500000000004,9.14,397.226445273459,378.0924614358752,423.13965259500367
87,MPB-32,3050,310.5071904259811,442.4327195639112,421.1211966124967,471.29497414014367,MPB-32,374.70500000000004,9.14,401.9943689957697,382.6307192421145,428.2186135037345
88,MPB-32,3100,297.46391272818516,447.5086641836311,425.95263827056885,476.70204979821364,MPB-32,374.70500000000004,9.14,406.6063722772472,387.0205671326388,433.1314824466569
89,MPB-32,3150,284.42063503038923,452.43169966366474,430.6385362628354,481.9462412349148,MPB-32,374.70500000000004,9.14,411.07944231440575,391.2781740484122,437.8963547860436
90,MPB-32,3200,271.3773573325934,457.20649969568643,435.1833391541141,487.03252703184705,MPB-32,374.70500000000004,9.14,415.4178256235007,395.40758195542804,442.5177540611362
91,MPB-32,3250,258.3340796347975,461.81771304721593,439.5724351647926,491.94455451346244,MPB-32,374.70500000000004,9.14,419.6075740747004,399.3955145907305,446.98082223093195
92,MPB-32,3300,245.29080193700167,466.26799878785283,443.80835527985954,496.68515621470425,MPB-32,374.70500000000004,9.14,423.65110369864306,403.2442716072804,451.28813293668026
93,MPB-35,1800,3279.779026602232,,,,MPB-35,196.66666666666666,0.0,,,
94,MPB-35,1850,3256.4814149152317,,,,MPB-35,196.66666666666666,0.0,,,
95,MPB-35,1900,3233.1838032282303,,,,MPB-35,196.66666666666666,0.0,,,
96,MPB-35,1950,3209.8861915412294,,,,MPB-35,196.66666666666666,0.0,,,
97,MPB-35,2000,3186.5885798542286,,,,MPB-35,196.66666666666666,0.0,,,
98,MPB-35,2050,3163.2909681672277,,,,MPB-35,196.66666666666666,0.0,,,
99,MPB-35,2100,3139.993356480227,,,,MPB-35,196.66666666666666,0.0,,,
100,MPB-35,2150,3116.695744793226,,,,MPB-35,196.66666666666666,0.0,,,
101,MPB-35,2200,3093.398133106225,,,,MPB-35,196.66666666666666,0.0,,,
102,MPB-35,2250,3070.1005214192237,,,,MPB-35,196.66666666666666,0.0,,,
103,MPB-35,2300,3046.8029097322233,,,,MPB-35,196.66666666666666,0.0,,,
104,MPB-35,2350,3023.505298045222,,,,MPB-35,196.66666666666666,0.0,,,
105,MPB-35,2400,3000.2076863582215,,,,MPB-35,196.66666666666666,0.0,,,
106,MPB-35,2450,2976.91007467122,,,,MPB-35,196.66666666666666,0.0,,,
107,MPB-35,2500,2953.6124629842193,,,,MPB-35,196.66666666666666,0.0,,,
108,MPB-35,2550,2930.3148512972184,,,,MPB-35,196.66666666666666,0.0,,,
109,MPB-35,2600,2907.0172396102175,,,,MPB-35,196.66666666666666,0.0,,,
110,MPB-35,2650,2883.7196279232166,,,,MPB-35,196.66666666666666,0.0,,,
111,MPB-35,2700,2860.4220162362158,,,,MPB-35,196.66666666666666,0.0,,,
112,MPB-35,2750,2837.124404549215,,,,MPB-35,196.66666666666666,0.0,,,
113,MPB-35,2800,2813.8267928622136,,,,MPB-35,196.66666666666666,0.0,,,
114,MPB-35,2850,2790.529181175213,,,,MPB-35,196.66666666666666,0.0,,,
115,MPB-35,2900,2767.231569488212,,,,MPB-35,196.66666666666666,0.0,,,
116,MPB-35,2950,2743.9339578012114,,,,MPB-35,196.66666666666666,0.0,,,
117,MPB-35,3000,2720.63634611421,,,,MPB-35,196.66666666666666,0.0,,,
118,MPB-35,3050,2697.338734427209,,,,MPB-35,196.66666666666666,0.0,,,
119,MPB-35,3100,2674.0411227402083,,,,MPB-35,196.66666666666666,0.0,,,
120,MPB-35,3150,2650.7435110532074,,,,MPB-35,196.66666666666666,0.0,,,
121,MPB-35,3200,2627.4458993662065,,,,MPB-35,196.66666666666666,0.0,,,
122,MPB-35,3250,2604.1482876792056,,,,MPB-35,196.66666666666666,0.0,,,
123,MPB-35,3300,2580.8506759922047,,,,MPB-35,196.66666666666666,0.0,,,
124,MPB-37,1800,496.0847625140665,784.5881873670183,967.0551749647934,531.9402531481576,MPB-37,539.888,2.6639999999999997,763.686758055561,941.2928251037313,517.7693648042907
125,MPB-37,1850,495.5656675072234,785.825487136334,968.5802261498169,532.77912577345,MPB-37,539.888,2.6639999999999997,764.8910961590221,942.7772489251857,518.5858898628453
126,MPB-37,1900,495.0465725003803,787.0627869056498,970.1052773348404,533.6179983987423,MPB-37,539.888,2.6639999999999997,766.0954342624833,944.2616727466402,519.4024149213998
127,MPB-37,1950,494.52747749353716,788.3000866749657,971.6303285198641,534.4568710240349,MPB-37,539.888,2.6639999999999997,767.2997723659445,945.7460965680949,520.2189399799546
128,MPB-37,2000,494.0083824866941,789.5373864442813,973.1553797048877,535.2957436493272,MPB-37,539.888,2.6639999999999997,768.5041104694058,947.2305203895495,521.0354650385091
129,MPB-37,2050,493.489287479851,790.7746862135971,974.6804308899111,536.1346162746196,MPB-37,539.888,2.6639999999999997,769.7084485728669,948.7149442110039,521.8519900970637
130,MPB-37,2100,492.97019247300784,792.011985982913,976.2054820749348,536.9734888999121,MPB-37,539.888,2.6639999999999997,770.9127866763281,950.1993680324586,522.6685151556185
131,MPB-37,2150,492.45109746616475,793.2492857522287,977.7305332599583,537.8123615252044,MPB-37,539.888,2.6639999999999997,772.1171247797893,951.683791853913,523.485040214173
132,MPB-37,2200,491.93200245932167,794.4865855215444,979.2555844449819,538.6512341504969,MPB-37,539.888,2.6639999999999997,773.3214628832505,953.1682156753675,524.3015652727277
133,MPB-37,2250,491.4129074524785,795.7238852908603,980.7806356300056,539.4901067757893,MPB-37,539.888,2.6639999999999997,774.5258009867117,954.6526394968222,525.1180903312822
134,MPB-37,2300,490.89381244563543,796.961185060176,982.305686815029,540.3289794010817,MPB-37,539.888,2.6639999999999997,775.7301390901729,956.1370633182767,525.934615389837
135,MPB-37,2350,490.37471743879235,798.1984848294917,983.8307380000525,541.1678520263741,MPB-37,539.888,2.6639999999999997,776.934477193634,957.621487139731,526.7511404483915
136,MPB-37,2400,489.8556224319492,799.4299567550404,985.3486059944996,542.0027734518668,MPB-37,539.888,2.6639999999999997,778.1331427070861,959.0989191308062,527.5638195671091
137,MPB-37,2450,489.3365274251061,800.6463030989655,986.8478307411655,542.827439936172,MPB-37,539.888,2.6639999999999997,779.317085584409,960.5582045302208,528.3665169362724
