,Well,pf_pres,bhp,Fluid_newest_interpolated,Fluid_lowest_interpolated,Fluid_median_interpolated,well,WtOilVol,WtWaterCut,Oil_newest_ipr,Oil_lowest_ipr,Oil_median_ipr
0,MPB-28,1800,1396.7258296345324,1370.924440958313,1177.0844337711933,831.2461538766236,MPB-28,497.8741935483871,69.20967741935483,422.11205770797096,362.428094204711,255.9433722178185
1,MPB-28,1850,1393.846456884817,1378.23501095801,1183.3613356131525,835.6788439748802,MPB-28,497.8741935483871,69.20967741935483,424.36300579336154,364.3607725299207,257.308211798072
2,MPB-28,1900,1390.9670841351015,1385.545580957707,1189.6382374551117,840.1115340731369,MPB-28,497.8741935483871,69.20967741935483,426.61395387875217,366.29345085513046,258.67305137832557
3,MPB-28,1950,1388.087711385386,1392.8263370412235,1195.8895408792462,844.5261468051897,MPB-28,497.8741935483871,69.20967741935483,428.85572216317684,368.2182473449164,260.0323248792109
4,MPB-28,2000,1385.2083386356705,1400.0920156070874,1202.1278986509444,848.9316174370769,MPB-28,497.8741935483871,69.20967741935483,431.0928480312791,370.13905782655695,261.3887834979645
5,MPB-28,2050,1382.328965885955,1407.3576941729514,1208.3662564226427,853.3370880689641,MPB-28,497.8741935483871,69.20967741935483,433.32997389938134,372.0598683081976,262.7452421167182
6,MPB-28,2100,1379.4495931362396,1414.6147915110782,1214.5972462976938,857.7373555602995,MPB-28,497.8741935483871,69.20967741935483,435.56445757978213,373.9784101906932,264.10009867171163
7,MPB-28,2150,1376.5702203865242,1421.8355786431093,1220.7970599991315,862.1156067258175,MPB-28,497.8741935483871,69.20967741935483,437.7877612305962,375.8873528287649,265.4481763289655
8,MPB-28,2200,1373.6908476368087,1429.0563657751404,1226.9968737005693,866.4938578913354,MPB-28,497.8741935483871,69.20967741935483,440.0110648814103,377.7962954668367,266.7962539862193
9,MPB-28,2250,1370.8114748870933,1436.2771529071717,1233.196687402007,870.8721090568533,MPB-28,497.8741935483871,69.20967741935483,442.2343685322244,379.70523810490835,268.14433164347315
10,MPB-28,2300,1367.9321021373778,1443.465700066076,1239.3688196577143,875.2308118411022,MPB-28,497.8741935483871,69.20967741935483,444.44774539131276,381.6056575365447,269.4863902910749
11,MPB-28,2350,1365.0527293876623,1450.6415957642741,1245.5300892888913,879.5818435402507,MPB-28,497.8741935483871,69.20967741935483,446.65722682483863,383.50273233104747,270.82608698682884
12,MPB-28,2400,1362.1733566379469,1457.8174914624724,1251.6913589200683,883.9328752393992,MPB-28,497.8741935483871,69.20967741935483,448.8667082583646,385.3998071255501,272.1657836825828
13,MPB-28,2450,1359.2939838882314,1464.982379875987,1257.8431776266923,888.2772327829308,MPB-28,497.8741935483871,69.20967741935483,451.07280051342894,387.29397194989616,273.50342538429277
14,MPB-28,2500,1356.414611138516,1472.1133841403519,1263.9659031876085,892.6010450157098,MPB-28,497.8741935483871,69.20967741935483,453.2684597296665,389.17917890082987,274.83474111854684
15,MPB-28,2550,1353.5352383888005,1479.244388404717,1270.0886287485246,896.9248572484888,MPB-28,497.8741935483871,69.20967741935483,455.46411894590415,391.0643858517635,276.1660568528009
16,MPB-28,2600,1350.655865639085,1486.3753926690822,1276.2113543094408,901.2486694812678,MPB-28,497.8741935483871,69.20967741935483,457.65977816214166,392.9495928026972,277.49737258705494
17,MPB-28,2650,1347.7764928893696,1493.471730903374,1282.304315396721,905.5514623177128,MPB-28,497.8741935483871,69.20967741935483,459.8447635958938,394.825635176184,278.8222163813732
18,MPB-28,2700,1344.8971201396541,1500.5578437339063,1288.3884968873765,909.8480550841225,MPB-28,497.8741935483871,69.20967741935483,462.02660059484316,396.69897428354875,280.14515115412746
19,MPB-28,2750,1342.0177473899387,1507.6439565644384,1294.4726783780322,914.1446478505322,MPB-28,497.8741935483871,69.20967741935483,464.2084375937925,398.57231339091356,281.4680859268817
20,MPB-28,2800,1339.1383746402232,1514.7166360533406,1300.545325916229,918.4330954462599,MPB-28,497.8741935483871,69.20967741935483,466.3861384235206,400.44210115711,282.78851277530816
21,MPB-28,2850,1336.2590018905078,1521.7578574500399,1306.5909633366239,922.7024687463002,MPB-28,497.8741935483871,69.20967741935483,468.5541532051817,402.3035724209057,284.1030665865625
22,MPB-28,2900,1333.3796291407923,1528.7990788467391,1312.6366007570186,926.9718420463403,MPB-28,497.8741935483871,69.20967741935483,470.7221679868428,404.16504368470146,285.41762039781673
23,MPB-28,2950,1330.5002563910768,1535.8403002434382,1318.6822381774132,931.2412153463805,MPB-28,497.8741935483871,69.20967741935483,472.89018276850385,406.02651494849715,286.7321742090711
24,MPB-28,3000,1327.6208836413614,1542.8444295531176,1324.6960280962662,935.4880982350215,MPB-28,497.8741935483871,69.20967741935483,475.0467767769197,407.8781802638343,288.03980315010585
25,MPB-28,3050,1324.741510891646,1549.840759515984,1330.7031214464002,939.7302520686924,MPB-28,497.8741935483871,69.20967741935483,477.2009693412926,409.7277836840611,289.34597599986034
26,MPB-28,3100,1321.8621381419305,1556.8370894788504,1336.7102147965343,943.9724059023633,MPB-28,497.8741935483871,69.20967741935483,479.3551619056655,411.5773871042878,290.65214884961483
27,MPB-28,3150,1318.982765392215,1563.8175600431402,1342.7036911663042,948.2049435502871,MPB-28,497.8741935483871,69.20967741935483,481.50447131005734,413.4227978123347,291.9553608447578
28,MPB-28,3200,1316.1033926424996,1570.7689985721736,1348.6722404461775,952.4198779175886,MPB-28,497.8741935483871,69.20967741935483,483.64484165714197,415.2605333889925,293.25315273301237
29,MPB-28,3250,1313.224019892784,1577.720437101207,1354.6407897260508,956.63481228489,MPB-28,497.8741935483871,69.20967741935483,485.78521200422654,417.0982689656502,294.55094462126704
30,MPB-28,3300,1310.3446471430686,1584.6718756302405,1360.609339005924,960.8497466521915,MPB-28,497.8741935483871,69.20967741935483,487.9255823513112,418.936004542308,295.8487365095216
31,MPB-30,1800,1114.7822467673423,385.22784668552566,416.0708945115366,812.9128118207344,MPB-30,173.35151515151517,71.39696969696969,110.18683772317205,119.00888403922409,232.51769790230043
32,MPB-30,1850,1108.2401787265812,389.08586323837983,420.23780095923354,821.0540485226381,MPB-30,173.35151515151517,71.39696969696969,111.29034736688085,120.20074555315776,234.84633830318737
33,MPB-30,1900,1101.6981106858202,392.9225034112688,424.38161953929574,829.1501765095477,MPB-30,173.35151515151517,71.39696969696969,112.3877427181505,121.38600323731556,237.16207624465522
34,MPB-30,1950,1095.156042645059,396.737491361261,428.5020523235845,837.2006136941213,MPB-30,173.35151515151517,71.39696969696969,113.47894487754373,122.56457187522166,239.46474523208522
35,MPB-30,2000,1088.613974604298,400.53869339263576,432.6075954275446,845.2219596539477,MPB-30,173.35151515151517,71.39696969696969,114.56620384645727,123.73888161335135,241.75909324768526
36,MPB-30,2050,1082.071906563537,404.3168481970356,436.6882460414472,853.194671055691,MPB-30,173.35151515151517,71.39696969696969,115.64687061005515,124.9060713450067,244.03953030589906
37,MPB-30,2100,1075.5298385227757,408.0750216255485,440.74731548199924,861.1252174981872,MPB-30,173.35151515151517,71.39696969696969,116.72182209465312,126.06708820710884,246.30790690804213
38,MPB-30,2150,1068.9877704820146,411.819409135444,444.7914952422226,869.0266727159362,MPB-30,173.35151515151517,71.39696969696969,117.79283038877142,127.22384616943455,248.5679625383553
39,MPB-30,2200,1062.4457024412536,415.5390785713547,448.8089778899658,876.8759675325132,MPB-30,173.35151515151517,71.39696969696969,118.8567685646975,128.3729679485875,250.813098713315
40,MPB-30,2250,1055.9036344004926,419.2404374783881,452.80668398678085,884.6866232329318,MPB-30,173.35151515151517,71.39696969696969,119.91546937450019,129.5164330348856,253.04718293017103
