,Well,Date,Slope,Intercept
0,MPG-02,,1000000.0,
1,MPG-14,2024-03-02,1.463549210928299,-810.5151810061581
2,MPG-14,2024-03-03,1.8365924352807876,-1067.5137381687878
3,MPG-14,2024-03-04,2.0727773646225423,-1226.942629963967
4,MPG-14,2024-03-08,0.9306047714679336,-406.0473834531748
5,MPG-14,2024-03-09,1.0319261260471735,-477.2451130432958
6,MPG-14,2024-03-10,1.039144603173599,-482.407082809119
7,MPG-14,2024-03-14,0.9667820467735035,-425.58361970842077
8,MPG-14,2024-03-17,1.1115623077156778,-525.8137656778916
9,MPG-14,2024-03-18,0.9955145659403475,-446.93867996137186
10,MPG-14,2024-03-21,1.194607534097949,-583.7342864423706
11,MPG-14,2024-03-23,1.7188328891516824,-951.1422033569784
12,MPG-14,2024-03-24,1.5803682736683793,-855.1979289321508
13,MPG-14,2024-03-25,1.9269273974530754,-1099.1119304229214
14,MPG-14,2024-03-27,1.3658457458791198,-711.955504811305
15,MPG-14,2024-03-30,1.883509722368676,-1083.6220202017978
16,MPG-14,2024-04-05,1.3237856282411016,-744.904768907272
17,MPG-14,2024-04-08,1.2041718237720926,-616.8387051449274
18,MPG-14,2024-04-09,1.34004688361383,-711.4622289555211
19,MPG-14,2024-04-10,1.6442852667913859,-925.3454796441249
20,MPG-14,2024-04-14,1.672001015036435,-939.0573551037351
21,MPG-14,2024-04-15,1.5262045648655587,-834.6380649257643
22,MPG-14,2024-04-16,1.3906575985516423,-735.7108459633465
23,MPG-14,2024-04-19,1.0018924807038623,-461.9664536178241
24,MPG-14,2024-04-21,1.1248082898795762,-540.3412519204675
25,MPG-14,2024-04-22,0.9691086847927272,-431.43366300243406
26,MPG-14,2024-04-24,1.1495002351459886,-559.3200398048757
27,MPG-14,2024-04-25,1.0128764728449489,-465.44635686706164
28,MPG-14,2024-04-29,1.3738147773636145,-709.867155364222
29,MPG-16,2024-03-02,12.274171075845663,-7067.23067870818
30,MPG-16,2024-03-03,4.50306869923165,-2432.5535105016265
31,MPG-16,2024-03-04,6.187216414726145,-3432.8368693166117
32,MPG-16,2024-03-08,1.6881854619055772,-765.3919982966353
33,MPG-16,2024-03-09,1.4076006501340628,-597.4241366483739
34,MPG-16,2024-03-10,0.9866541670436437,-348.7488675711994
35,MPG-16,2024-03-13,4.747998085924897,-2587.722900948945
36,MPG-16,2024-03-23,8.28956829507981,-4667.483125682235
37,MPG-16,2024-03-24,3.578168780339575,-1879.172761951011
38,MPG-16,2024-03-25,3.1028084591094576,-1590.9945697290946
39,MPG-16,2024-03-30,8.648497646173375,-4882.586329771836
40,MPG-16,2024-03-31,2.7207448932112435,-1360.4623534099542
41,MPG-16,2024-04-06,1.5318665085098624,-707.1297833837491
42,MPG-16,2024-04-08,3.2682803441514405,-1782.45626403453
43,MPG-16,2024-04-09,2.3520444068668085,-1214.325068147714
44,MPG-16,2024-04-14,2.1940949869768733,-1092.7524503912614
45,MPG-16,2024-04-16,4.836196283007752,-2686.218346023309
46,MPG-16,2024-04-22,3.30834381416594,-1739.5112493770127
47,MPG-16,2024-04-24,3.2613238223435923,-1707.9461926770496
48,MPG-16,2024-04-25,8.22321933956406,-4672.128830647327
49,MPG-16,2024-04-27,3.671242131789013,-1950.2807981603753
50,MPG-16,2024-04-29,30.494630482327103,-17983.40677308934
51,MPG-16,2024-04-30,1.5687750379435548,-716.5008998887079
52,MPG-16,2024-05-08,2.1169603209284746,-1037.6950607607812
53,MPG-18,2024-03-21,1.1282460125890876,122.30186776465709
54,MPG-18,2024-03-30,1.447467319707595,-832.2421563519692
55,MPH-16,2024-03-02,1.2063422159835542,-428.73922889251105
56,MPH-16,2024-03-03,1.325678878402748,-498.7139921692561
57,MPH-16,2024-03-04,0.9449799601865777,-282.0062466295979
58,MPH-16,2024-03-30,1.175447280698118,-511.1926482571101
59,MPH-16,2024-04-29,1.4398218350770808,-698.7471409384635
60,MPH-19,2024-03-03,1.9676506559874605,-1238.8510371327225
61,MPH-19,2024-03-04,1.2138546340449252,-651.012492341193
62,MPH-19,2024-03-30,1.469164726573557,-838.4459937805434
63,MPH-19,2024-04-29,2.3358517323539196,-1565.6712449968193
64,MPI-15,2024-03-02,6.414436460670088,-3370.6118592193234
65,MPI-15,2024-03-04,21.218172707248126,-11805.615689777209
66,MPI-15,2024-03-05,1.6019658678870776,-638.9545993847076
67,MPI-15,2024-03-09,2.6009841070682214,-1204.6393435185146
68,MPI-15,2024-03-14,8.349123073614988,-4489.158235048946
69,MPI-15,2024-03-15,1.5069069266192885,-581.2119228430398
70,MPI-15,2024-03-16,3.914137122823572,-1956.5028474121705
71,MPI-15,2024-03-17,10.883240765088818,-5949.785940601039
72,MPI-15,2024-03-18,9.734486535988149,-5287.8501643083355
73,MPI-15,2024-03-19,9.471336738982618,-5139.621099261572
74,MPI-15,2024-03-20,11.083599995039693,-6060.148425945878
75,MPI-15,2024-03-21,3.4173826815660013,-1666.257759617956
76,MPI-15,2024-03-22,16.24258965768345,-9015.492976871805
77,MPI-15,2024-03-23,20.570540821747194,-11496.506013411159
78,MPI-15,2024-03-24,15.85155267546797,-8795.917896545654
79,MPI-15,2024-03-25,16.674486711099757,-9264.448653202546
80,MPI-15,2024-03-27,2.2623680013593743,-1000.9135637772232
81,MPI-15,2024-03-29,11.95433135019472,-6552.402678887598
82,MPI-15,2024-03-30,5.200021665655925,-2693.490643852403
83,MPI-15,2024-03-31,13.95680644148325,-7698.237028296955
84,MPI-15,2024-04-01,21.381597224642086,-11947.789639110848
