Well,Slope,Intercept
MPG-02,0.8281921556420065,-144.52781994972685
MPG-14,1.8334251420203589,-1203.3081886709397
MPG-16,-0.4615232814060493,513.0008011307588
MPG-18,0.27787095165593834,-45.41481975243007
MPH-16,-0.23230930602347352,372.7523541191142
MPH-19,0.7045209420257622,-343.6958062720746
MPI-15,-1.1772970574074588,943.8666155836652
MPI-20,0.3832285389454039,138.51015749453012
MPI-27,-1.7796639140504356,1017.209541999647
MPI-29,0.677896162078398,-93.74264625441812
MPI-31,6.422789097044612,-4004.101059988197
MPI-33,-2.467141220539852,2065.8159174241
MPI-36,-0.736691768413453,737.1786569414814
MPI-38,0.795182433416153,-15.6914950451474
MPJ-06,1.366884349619441,-282.5838830715337
MPJ-10,-0.032015680263404116,335.08652616119883
MPJ-28,2.757947338284594,-872.9825395931816
MPJ-29,-0.06634508165242582,342.9972958408138
