,datetime,tag,value
76,2024-02-02 01:00:00+00:00,MPU_PI_32715,614.5221983870969
77,2024-02-02 01:00:00+00:00,MPU_PI_32717,0.0
78,2024-02-02 01:00:00+00:00,MPU_PI_33310,-3042.4
79,2024-02-02 01:00:00+00:00,MPU_PI_32740,0.0
80,2024-02-02 01:00:00+00:00,MPU_PI_31716,1056.6666666666667
81,2024-02-02 01:00:00+00:00,MPU_PI_32206,268.89458426395925
82,2024-02-02 01:00:00+00:00,MPU_PI_31216,89.54108724232044
83,2024-02-02 01:00:00+00:00,MPU_PI_31719,825.715275
84,2024-02-02 01:00:00+00:00,MPU_PI_31218,227.9182320618556
85,2024-02-02 01:00:00+00:00,MPU_PI_31219,227.05115294117644
86,2024-02-02 01:00:00+00:00,MPU_PI_3205,261.824121283784
87,2024-02-02 01:00:00+00:00,MPU_PI_3001,225.01064073107008
88,2024-02-02 01:00:00+00:00,MPU_PI_31208,267.4733217391304
89,2024-02-02 01:00:00+00:00,MPU_PI_30302,459.68973384030426
90,2024-02-02 01:00:00+00:00,MPU_PI_30216,260.1938666666666
91,2024-02-02 01:00:00+00:00,MPU_PI_30314,1247.7462427745663
92,2024-02-02 01:00:00+00:00,MPU_PI_3110,218.85475962877038
93,2024-02-02 01:00:00+00:00,MPU_PI_30718,793.695652173913
94,2024-02-02 01:00:00+00:00,MPU_PI_30214,269.3177142857143
95,2024-02-02 01:00:00+00:00,MPU_PI_30716,602.0725667351131
96,2024-02-02 01:00:00+00:00,MPU_PI_30218,269.59680000000003
97,2024-02-02 01:00:00+00:00,MPU_PI_30202,241.85568000000004
98,2024-02-02 02:00:00+00:00,MPU_PI_32217,286.26111599539695
99,2024-02-02 02:00:00+00:00,MPU_PI_32220,282.9077273875298
100,2024-02-02 02:00:00+00:00,MPU_PI_32227,323.07190996047416
101,2024-02-02 02:00:00+00:00,MPU_PI_32215,289.57853401849945
102,2024-02-02 02:00:00+00:00,MPU_PI_33328,438.1102564102564
103,2024-02-02 02:00:00+00:00,MPU_PI_33329,939.4923076923075
104,2024-02-02 02:00:00+00:00,MPU_PI_32231,306.5749310344828
105,2024-02-02 02:00:00+00:00,MPU_PI_32338,357.2142857142857
106,2024-02-02 02:00:00+00:00,MPU_PI_32306,0.0
107,2024-02-02 02:00:00+00:00,MPU_PI_32236,300.7399935089369
108,2024-02-02 02:00:00+00:00,MPU_PI_32320,346.6
109,2024-02-02 02:00:00+00:00,MPU_PI_32229,292.31036093133383
110,2024-02-02 02:00:00+00:00,MPU_PI_32238,280.1689249727371
111,2024-02-02 02:00:00+00:00,MPU_PI_32233,295.1932159624413
112,2024-02-02 02:00:00+00:00,MPU_PI_32240,290.71234269928965
113,2024-02-02 02:00:00+00:00,MPU_PI_32715,615.4082663865547
114,2024-02-02 02:00:00+00:00,MPU_PI_32731,676.4863724137931
115,2024-02-02 02:00:00+00:00,MPU_PI_33227,292.6661629629629
116,2024-02-02 02:00:00+00:00,MPU_PI_33210,651.6477
117,2024-02-02 02:00:00+00:00,MPU_PI_33306,415.0153846153846
118,2024-02-02 02:00:00+00:00,MPU_PI_32733,746.4974058823528
119,2024-02-02 02:00:00+00:00,MPU_PI_32736,634.1177852830184
120,2024-02-02 02:00:00+00:00,MPU_PI_33229,288.52510689655213
121,2024-02-02 02:00:00+00:00,MPU_PI_3305,278.8209
122,2024-02-02 02:00:00+00:00,MPU_PI_32729,521.8846082089551
123,2024-02-02 02:00:00+00:00,MPU_PI_32727,422.36132213740456
124,2024-02-02 02:00:00+00:00,MPU_PI_33206,288.1772347826087
125,2024-02-02 02:00:00+00:00,MPU_PI_33228,281.58082388059705
126,2024-02-02 02:00:00+00:00,MPU_PI_32740,0.0
127,2024-02-02 02:00:00+00:00,MPU_PI_32717,0.0
128,2024-02-02 02:00:00+00:00,MPU_PI_31218,239.22278314014747
129,2024-02-02 02:00:00+00:00,MPU_PI_31719,825.63355
130,2024-02-02 02:00:00+00:00,MPU_PI_32206,280.1504530909093
131,2024-02-02 02:00:00+00:00,MPU_PI_31716,1049.4
132,2024-02-02 02:00:00+00:00,MPU_PI_31219,238.73223195266272
133,2024-02-02 02:00:00+00:00,MPU_PI_31216,90.42808972746316
134,2024-02-02 02:00:00+00:00,MPU_PI_3205,272.3269361363636
135,2024-02-02 02:00:00+00:00,MPU_PI_30302,446.88181818181823
136,2024-02-02 02:00:00+00:00,MPU_PI_30314,1235.2156521739134
137,2024-02-02 02:00:00+00:00,MPU_PI_3001,233.50659930130993
138,2024-02-02 02:00:00+00:00,MPU_PI_31208,279.77608421052634
139,2024-02-02 02:00:00+00:00,MPU_PI_30718,793.0333333333333
140,2024-02-02 02:00:00+00:00,MPU_PI_30218,274.48080000000004
141,2024-02-02 02:00:00+00:00,MPU_PI_3110,230.78368872180445
142,2024-02-02 02:00:00+00:00,MPU_PI_30716,602.488763557484
143,2024-02-02 02:00:00+00:00,MPU_PI_30216,263.11440000000005
144,2024-02-02 02:00:00+00:00,MPU_PI_30214,260.21952
145,2024-02-02 02:00:00+00:00,MPU_PI_30202,250.12185
146,2024-02-02 03:00:00+00:00,MPU_PI_32227,323.1515892490117
147,2024-02-02 03:00:00+00:00,MPU_PI_32220,284.81504106012665
148,2024-02-02 03:00:00+00:00,MPU_PI_32217,288.01556977025393
149,2024-02-02 03:00:00+00:00,MPU_PI_32215,291.54175054617656
150,2024-02-02 03:00:00+00:00,MPU_PI_33329,1026.2448529411763
151,2024-02-02 03:00:00+00:00,MPU_PI_33328,433.21555555555557
152,2024-02-02 03:00:00+00:00,MPU_PI_32338,359.9166666666667
153,2024-02-02 03:00:00+00:00,MPU_PI_32240,293.045476028481
154,2024-02-02 03:00:00+00:00,MPU_PI_32320,345.5
155,2024-02-02 03:00:00+00:00,MPU_PI_32229,294.04469201581026
156,2024-02-02 03:00:00+00:00,MPU_PI_32231,308.05250000000007
157,2024-02-02 03:00:00+00:00,MPU_PI_32236,302.47700616570324
158,2024-02-02 03:00:00+00:00,MPU_PI_32238,282.0696761546724
