,Well,Median Slope,Median Intercept
0,MPF-01,0.5206251115602704,7.193228681520819
1,MPF-05,0.5927579936980905,-221.2927345035632
2,MPF-06,0.8544714749579209,-385.14285393721866
3,MPF-09,0.258303795505485,210.40596174093744
4,MPF-107,0.363438521255488,58.62658635915961
5,MPF-109,1.022353270142969,-198.71163589233612
6,MPF-116,1.2961300776532354,-608.8475463054393
7,MPF-14,0.6380370649476517,40.73076299428733
8,MPF-25,0.3320101094542191,126.72707053224626
9,MPF-29,0.16874072850096722,263.83794471353843
10,MPF-34,0.6507766852636334,-171.23814694774273
11,MPF-37,0.17474364407145995,156.36677909198616
12,MPF-45,3.2524554000907053,282.3458547662398
13,MPF-50,0.46251234516900475,99.16832157665527
14,MPF-54,0.6102181147532358,-48.98759491537038
15,MPF-61,0.26599705199094914,197.5465982057573
16,MPF-62,0.2194101911749733,227.0646931898418
17,MPF-65,0.522635503162651,84.29336920919386
18,MPF-66,10.438884670428193,-19208.23922045621
19,MPF-73,0.1452683075719457,304.8314071127665
20,MPF-78,0.3975173040903608,136.2476329112948
21,MPF-79,0.21435232862375717,163.85091999999995
22,MPF-81,2.611751769846819,-976.9005425086058
23,MPF-86,1.455875698424328,-493.04603106140826
24,MPF-93,2.6813430330604846,-1018.9908058383048
25,MPF-94,0.23563352331599527,211.24013944279503
26,MPF-96,0.2899544041285819,202.3469180509676
27,MPL-01,0.6081732616263096,-0.5787503297010967
28,MPL-02,0.6515482044427024,7.346458125190623
29,MPL-03,1.3025098008380571,-935.7235763366031
30,MPL-04,0.3327945420138978,135.4301484170852
31,MPL-06,0.19366257178035948,-99.07315679827552
32,MPL-07,0.42281446417065727,110.81295450118581
33,MPL-13,0.28046549881816046,186.9637510586935
34,MPL-14,0.4158824535083911,95.11094578096784
35,MPL-28,0.5319578229944626,-406.6319221582676
36,MPL-29,7.832429163904812,-17942.933363082342
37,MPL-36,0.7214205109244505,-345.4652819449527
38,MPL-39,0.4224771732652403,-353.1261087182733
39,MPL-40,1.485230075582034,-417.9716230388149
40,MPL-41,0.6148992298319497,17.744745896183304
41,MPL-46,0.0945577475744781,264.8686067186362
42,MPL-54,0.749387994156163,-230.54807231083734
43,MPL-55,0.4901718951400612,192.85813214285696
44,MPL-56,0.8455514373616804,-398.4195934977044
45,MPL-57,0.3674238867036811,21.876179176438836
46,MPL-60,0.41016199855472146,-150.34436223297374
47,MPL-62,0.46769143585760486,-142.90957740152493
