,Well,Mean Slope,Mean Intercept
0,MPG-02,1000000.0,0.0
1,MPG-14,1.3786900490676264,-712.1952080801212
2,MPG-16,5.258714716949622,-2887.451315254828
3,MPG-18,1000000.0,0.0
4,MPH-16,1.1614980385264042,-446.02845613329026
5,MPH-19,1.4281663883142668,-782.9204339903387
6,MPI-15,12.690761751148765,-6958.621164156139
7,MPI-20,0.9626616630895548,-44.179205756886184
8,MPI-27,8.884799686394022,-3338.576039416358
9,MPI-29,1.4915437507349225,-566.9257927521546
10,MPI-31,10.632631836650598,-6092.050664825659
11,MPI-33,28.58919332877479,-19096.11733974399
12,MPI-36,4.765856258394235,-2572.011125334527
13,MPI-38,1.1791615625175198,-148.8542116948195
14,MPJ-06,1.7376867012967832,-466.47165279109834
15,MPJ-10,1.3720928879027847,-639.1428940064739
16,MPJ-28,3.329888179470208,-1093.2314744701143
17,MPJ-29,1.5938259061693079,-1163.2388007737638
